Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.06      0.04     0.04  1340209     0.00     0.00  builtin__map_get_check
  4.55      0.07     0.03   736811     0.00     0.00  v__scanner__Scanner_text_scan
  4.55      0.10     0.03   278574     0.00     0.00  v__gen__c__Gen_expr
  4.55      0.13     0.03   120809     0.00     0.00  v__markused__Walker_expr
  4.55      0.16     0.03    27189     0.00     0.00  v__checker__Checker_method_call
  4.55      0.19     0.03      353     0.08     0.20  v__scanner__Scanner_scan_remaining_text
  3.03      0.21     0.02  1048513     0.00     0.00  v__token__KeywordsMatcherTrie_find
  3.03      0.23     0.02   737164     0.00     0.00  v__scanner__Scanner_scan
  3.03      0.25     0.02   269101     0.00     0.00  builtin__str_intp
  3.03      0.27     0.02   210209     0.00     0.00  v__transformer__Transformer_match_expr
  3.03      0.29     0.02   200951     0.00     0.00  v__parser__Parser_check_expr
  3.03      0.31     0.02   120184     0.00     0.00  v__ast__Struct_find_field
  3.03      0.33     0.02    92810     0.00     0.00  v__ast__TypeSymbol_find_method
  3.03      0.35     0.02    61994     0.00     0.00  v__ast__Table_find_field_with_embeds
  3.03      0.37     0.02    45330     0.00     0.00  v__comptime__Comptime_stmt
  3.03      0.39     0.02    19396     0.00     0.00  v__gen__c__Gen_need_tmp_var_in_expr
  1.52      0.40     0.01  2509212     0.00     0.00  builtin__array_push
  1.52      0.41     0.01  1929239     0.00     0.00  builtin__map_hash_string
  1.52      0.42     0.01   864086     0.00     0.00  v__gen__c__Gen_write
  1.52      0.43     0.01   359194     0.00     0.00  v__ast__Scope_find_ptr
  1.52      0.44     0.01   149242     0.00     0.00  v__parser__Parser_expr
  1.52      0.45     0.01   127403     0.00     0.00  v__parser__Parser_name_expr
  1.52      0.46     0.01   120816     0.00     0.00  v__ast__Table_find_field
  1.52      0.47     0.01   108796     0.00     0.00  v__checker__Checker_ident
  1.52      0.48     0.01    79737     0.00     0.00  v__comptime__Comptime_expr
  1.52      0.49     0.01    51150     0.00     0.00  v__checker__Checker_selector_expr
  1.52      0.50     0.01    48473     0.00     0.00  v__gen__c__Gen_selector_expr
  1.52      0.51     0.01    46562     0.00     0.00  v__checker__Checker_check_basic
  1.52      0.52     0.01    44638     0.00     0.00  v__transformer__Transformer_stmt
  1.52      0.53     0.01    32972     0.00     0.00  v__checker__Checker_call_expr
  1.52      0.54     0.01    31078     0.00     0.00  v__markused__Walker_call_expr
  1.52      0.55     0.01    30665     0.00     0.00  v__gen__c__Gen_call_args
  1.52      0.56     0.01    24351     0.00     0.00  v__parser__Parser_infix_expr
  1.52      0.57     0.01    17979     0.00     0.00  v__parser__Parser_string_expr
  1.52      0.58     0.01    14018     0.00     0.00  v__checker__Checker_if_expr
  1.52      0.59     0.01    13926     0.00     0.00  v__gen__c__Gen_type_default_impl
  1.52      0.60     0.01    12513     0.00     0.00  v__gen__c__Gen_need_tmp_var_in_if
  1.52      0.61     0.01    12173     0.00     0.00  v__parser__Parser_check_undefined_variables
  1.52      0.62     0.01     5000     0.00     0.00  strconv__common_parse_int
  1.52      0.63     0.01     3870     0.00     0.00  v__gen__c__Gen_fn_call
  1.52      0.64     0.01     1347     0.01     0.01  v__gen__c__Gen_for_in_stmt
  1.52      0.65     0.01      305     0.03     0.03  v__pref__os_from_string
  1.52      0.66     0.01        1    10.00   195.95  v__gen__c__gen
  0.00      0.66     0.00  2125205     0.00     0.00  builtin__arguments
  0.00      0.66     0.00  2121415     0.00     0.00  v__ast__Table_sym
  0.00      0.66     0.00  1032197     0.00     0.00  builtin___v_malloc
  0.00      0.66     0.00   807871     0.00     0.00  v__gen__c__Gen_unwrap_generic
  0.00      0.66     0.00   745493     0.00     0.00  builtin__map_exists
  0.00      0.66     0.00   598649     0.00     0.00  v__parser__Parser_eat_comments
  0.00      0.66     0.00   588313     0.00     0.00  builtin__map_eq_string
  0.00      0.66     0.00   543952     0.00     0.00  v__ast__Table_final_sym
  0.00      0.66     0.00   523112     0.00     0.00  builtin__StrIntpData_process_str_intp_data
  0.00      0.66     0.00   522736     0.00     0.00  builtin__string_clone
  0.00      0.66     0.00   468312     0.00     0.00  builtin__map_hash_int_4
  0.00      0.66     0.00   465903     0.00     0.00  builtin__malloc_noscan
  0.00      0.66     0.00   448737     0.00     0.00  builtin__map_eq_int_4
  0.00      0.66     0.00   420657     0.00     0.00  builtin__string_substr
  0.00      0.66     0.00   352855     0.00     0.00  builtin__string_replace
  0.00      0.66     0.00   336172     0.00     0.00  builtin__array_ensure_cap
  0.00      0.66     0.00   318739     0.00     0.00  strings__new_builder
  0.00      0.66     0.00   310820     0.00     0.00  v__checker__Checker_expr
  0.00      0.66     0.00   309457     0.00     0.00  builtin__memdup_noscan
  0.00      0.66     0.00   258092     0.00     0.00  v__checker__Checker_unwrap_generic
  0.00      0.66     0.00   231128     0.00     0.00  v__parser__Parser_check_name
  0.00      0.66     0.00   227305     0.00     0.00  v__gen__c__Gen_base_type
  0.00      0.66     0.00   210421     0.00     0.00  v__ast__Expr_pos
  0.00      0.66     0.00   201162     0.00     0.00  v__parser__Parser_expr_with_left
  0.00      0.66     0.00   198493     0.00     0.00  v__parser__Parser_is_generic_call
  0.00      0.66     0.00   196165     0.00     0.00  v__parser__Parser_check
  0.00      0.66     0.00   181041     0.00     0.00  builtin__map_get
  0.00      0.66     0.00   153438     0.00     0.00  v__ast__Expr_is_auto_deref_var
  0.00      0.66     0.00   148396     0.00     0.00  v__checker__Checker_check_expr_option_or_result_call
  0.00      0.66     0.00   127743     0.00     0.00  builtin__array_clone_to_depth
  0.00      0.66     0.00   126130     0.00     0.00  v__checker__Checker_expr_or_block_err
  0.00      0.66     0.00   125904     0.00     0.00  v__ast__Scope_find_var
  0.00      0.66     0.00   125123     0.00     0.00  v__ast__type_can_start_with_token
  0.00      0.66     0.00   125123     0.00     0.00  v__parser__Parser_is_generic_cast
  0.00      0.66     0.00   125123     0.00     0.00  v__parser__Parser_is_generic_struct_init
  0.00      0.66     0.00   115533     0.00     0.00  v__parser__Parser_ident
  0.00      0.66     0.00   115532     0.00     0.00  v__parser__Parser_add_defer_var
  0.00      0.66     0.00   115449     0.00     0.00  v__parser__Parser_is_following_concrete_types
  0.00      0.66     0.00   112236     0.00     0.00  v__gen__c__Gen_is_comptime_for_var
  0.00      0.66     0.00   110271     0.00     0.00  v__gen__c__Gen_ident
  0.00      0.66     0.00   110121     0.00     0.00  v__gen__c__Gen_get_ternary_name
  0.00      0.66     0.00   109274     0.00     0.00  v__gen__c__Gen_writeln
  0.00      0.66     0.00   101938     0.00     0.00  builtin____new_array
  0.00      0.66     0.00   100869     0.00     0.00  v_typeof_sumtype_v__ast__Expr
  0.00      0.66     0.00    92438     0.00     0.00  v__transformer__Transformer_trans_const_value_to_literal
  0.00      0.66     0.00    92316     0.00     0.00  builtin__new_map
  0.00      0.66     0.00    90143     0.00     0.00  builtin__map_set
  0.00      0.66     0.00    90111     0.00     0.00  v__ast__Table_type_kind
  0.00      0.66     0.00    82152     0.00     0.00  v__ast__Table_find_method
  0.00      0.66     0.00    81181     0.00     0.00  builtin__string__plus
  0.00      0.66     0.00    79186     0.00     0.00  v__parser__Parser_expr_list
  0.00      0.66     0.00    74898     0.00     0.00  v__ast__Table_sumtype_has_variant
  0.00      0.66     0.00    73396     0.00     0.00  v__parser__Parser_dot_expr
  0.00      0.66     0.00    69808     0.00     0.00  v__gen__c__Gen_expr_with_cast
  0.00      0.66     0.00    68158     0.00     0.00  v__checker__Checker_stmt
  0.00      0.66     0.00    66312     0.00     0.00  v__checker__Checker_stmts_ending_with_expression
  0.00      0.66     0.00    65137     0.00     0.00  v__gen__c__Gen_stmt
  0.00      0.66     0.00    64303     0.00     0.00  v__parser__Parser_stmt
  0.00      0.66     0.00    63595     0.00     0.00  v__gen__c__Gen_cc_type
  0.00      0.66     0.00    61824     0.00     0.00  v__checker__Checker_fail_if_unreadable
  0.00      0.66     0.00    61044     0.00     0.00  builtin__map_clone_string
  0.00      0.66     0.00    59230     0.00     0.00  builtin__string_free
  0.00      0.66     0.00    57755     0.00     0.00  v__ast__Expr_is_literal
  0.00      0.66     0.00    55560     0.00     0.00  builtin__impl_i64_to_string
  0.00      0.66     0.00    53595     0.00     0.00  v__type_resolver__ResolverInfo_is_comptime
  0.00      0.66     0.00    52160     0.00     0.00  v__checker__Checker_check_types
  0.00      0.66     0.00    51789     0.00     0.00  builtin__new_array_from_c_array
  0.00      0.66     0.00    51709     0.00     0.00  v__parser__Parser_expr_no_value
  0.00      0.66     0.00    51276     0.00     0.00  v__parser__Parser_parse_multi_expr
  0.00      0.66     0.00    49552     0.00     0.00  builtin__string_index_after_
  0.00      0.66     0.00    47980     0.00     0.00  v__markused__Walker_stmt
  0.00      0.66     0.00    47696     0.00     0.00  builtin__array_set
  0.00      0.66     0.00    47518     0.00     0.00  v__gen__c__Gen_write2
  0.00      0.66     0.00    46338     0.00     0.00  v__gen__c__Gen_write_selector_expr_embed_name
  0.00      0.66     0.00    43009     0.00     0.00  v__ast__Expr_str
  0.00      0.66     0.00    41459     0.00     0.00  v__checker__Checker_symmetric_check
  0.00      0.66     0.00    41140     0.00     0.00  v__ast__Scope_known_var
  0.00      0.66     0.00    37586     0.00     0.00  builtin__map_get_and_set
  0.00      0.66     0.00    36627     0.00     0.00  v__ast__CallExpr_fkey
  0.00      0.66     0.00    36504     0.00     0.00  v__parser__Parser_call_kind
  0.00      0.66     0.00    34626     0.00     0.00  v__type_resolver__TypeResolver_get_type_or_default
  0.00      0.66     0.00    33874     0.00     0.00  v__checker__Checker_check_expected
  0.00      0.66     0.00    33774     0.00     0.00  v__checker__Checker_check_expected_call_arg
  0.00      0.66     0.00    33705     0.00     0.00  Array_v__ast__Attr_contains
  0.00      0.66     0.00    32972     0.00     0.00  v__checker__Checker_markused_call_expr
  0.00      0.66     0.00    32575     0.00     0.00  v__parser__Parser_open_scope
