Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  4.62      0.03     0.03  2125612     0.00     0.00  builtin__arguments
  4.62      0.06     0.03   745553     0.00     0.00  builtin__map_exists
  4.62      0.09     0.03   359225     0.00     0.00  v__ast__Scope_find_ptr
  4.62      0.12     0.03   278597     0.00     0.00  v__gen__c__Gen_expr
  4.62      0.15     0.03   120819     0.00     0.00  v__markused__Walker_expr
  4.62      0.18     0.03    27189     0.00     0.00  v__checker__Checker_method_call
  3.08      0.20     0.02  1410233     0.00     0.00  builtin__map_get_check
  3.08      0.22     0.02   736869     0.00     0.00  v__scanner__Scanner_text_scan
  3.08      0.24     0.02   352903     0.00     0.00  builtin__string_replace
  3.08      0.26     0.02   210231     0.00     0.00  v__transformer__Transformer_match_expr
  3.08      0.28     0.02    79747     0.00     0.00  v__comptime__Comptime_expr
  3.08      0.30     0.02    65144     0.00     0.00  v__gen__c__Gen_stmt
  3.08      0.32     0.02    51153     0.00     0.00  v__checker__Checker_selector_expr
  3.08      0.34     0.02    17952     0.00     0.00  v__gen__c__Gen_assign_stmt
  3.08      0.36     0.02      353     0.06     0.13  v__scanner__Scanner_scan_remaining_text
  1.54      0.37     0.01  2121836     0.00     0.00  v__ast__Table_sym
  1.54      0.38     0.01  1999295     0.00     0.00  builtin__map_hash_string
  1.54      0.39     0.01  1048625     0.00     0.00  v__token__KeywordsMatcherTrie_find
  1.54      0.40     0.01   336276     0.00     0.00  builtin__array_ensure_cap
  1.54      0.41     0.01   310843     0.00     0.00  v__checker__Checker_expr
  1.54      0.42     0.01   201183     0.00     0.00  v__parser__Parser_expr_with_left
  1.54      0.43     0.01   127415     0.00     0.00  v__parser__Parser_name_expr
  1.54      0.44     0.01   120191     0.00     0.00  v__ast__Struct_find_field
  1.54      0.45     0.01   108805     0.00     0.00  v__checker__Checker_ident
  1.54      0.46     0.01    74901     0.00     0.00  v__ast__Table_sumtype_has_variant
  1.54      0.47     0.01    73399     0.00     0.00  v__parser__Parser_dot_expr
  1.54      0.48     0.01    66316     0.00     0.00  v__checker__Checker_stmts_ending_with_expression
  1.54      0.49     0.01    48476     0.00     0.00  v__gen__c__Gen_selector_expr
  1.54      0.50     0.01    47986     0.00     0.00  v__markused__Walker_stmt
  1.54      0.51     0.01    46341     0.00     0.00  v__gen__c__Gen_write_selector_expr_embed_name
  1.54      0.52     0.01    45335     0.00     0.00  v__comptime__Comptime_stmt
  1.54      0.53     0.01    44643     0.00     0.00  v__transformer__Transformer_stmt
  1.54      0.54     0.01    32972     0.00     0.00  v__checker__Checker_call_expr
  1.54      0.55     0.01    32123     0.00     0.00  v__checker__Checker_check_expected_arg_count
  1.54      0.56     0.01    30678     0.00     0.00  v__parser__Parser_parse_block_no_scope
  1.54      0.57     0.01    29263     0.00     0.00  v__checker__Checker_find_unreachable_statements_after_noreturn_calls
  1.54      0.58     0.01    27446     0.00     0.00  v__gen__c__Gen_stmts_with_tmp_var
  1.54      0.59     0.01    24353     0.00     0.00  v__parser__Parser_infix_expr
  1.54      0.60     0.01    19757     0.00     0.00  v__checker__Checker_assign_stmt
  1.54      0.61     0.01     5783     0.00     0.00  v__checker__Checker_fn_call
  1.54      0.62     0.01     5307     0.00     0.00  v__util__Timers_measure_cumulative
  1.54      0.63     0.01      429     0.02     0.02  os__real_path
  1.54      0.64     0.01      369     0.03     0.03  v__parser__Parser_struct_decl
  1.54      0.65     0.01                             _init
  0.00      0.65     0.00  2509470     0.00     0.00  builtin__array_push
  0.00      0.65     0.00  1032398     0.00     0.00  builtin___v_malloc
  0.00      0.65     0.00   864222     0.00     0.00  v__gen__c__Gen_write
  0.00      0.65     0.00   807944     0.00     0.00  v__gen__c__Gen_unwrap_generic
  0.00      0.65     0.00   737222     0.00     0.00  v__scanner__Scanner_scan
  0.00      0.65     0.00   598700     0.00     0.00  v__parser__Parser_eat_comments
  0.00      0.65     0.00   588347     0.00     0.00  builtin__map_eq_string
  0.00      0.65     0.00   544036     0.00     0.00  v__ast__Table_final_sym
  0.00      0.65     0.00   523232     0.00     0.00  builtin__StrIntpData_process_str_intp_data
  0.00      0.65     0.00   522797     0.00     0.00  builtin__string_clone
  0.00      0.65     0.00   468351     0.00     0.00  builtin__map_hash_int_4
  0.00      0.65     0.00   465977     0.00     0.00  builtin__malloc_noscan
  0.00      0.65     0.00   448774     0.00     0.00  builtin__map_eq_int_4
  0.00      0.65     0.00   420687     0.00     0.00  builtin__string_substr
  0.00      0.65     0.00   318802     0.00     0.00  strings__new_builder
  0.00      0.65     0.00   309520     0.00     0.00  builtin__memdup_noscan
  0.00      0.65     0.00   269161     0.00     0.00  builtin__str_intp
  0.00      0.65     0.00   258113     0.00     0.00  v__checker__Checker_unwrap_generic
  0.00      0.65     0.00   231144     0.00     0.00  v__parser__Parser_check_name
  0.00      0.65     0.00   227326     0.00     0.00  v__gen__c__Gen_base_type
  0.00      0.65     0.00   210437     0.00     0.00  v__ast__Expr_pos
  0.00      0.65     0.00   200972     0.00     0.00  v__parser__Parser_check_expr
  0.00      0.65     0.00   198508     0.00     0.00  v__parser__Parser_is_generic_call
  0.00      0.65     0.00   196182     0.00     0.00  v__parser__Parser_check
  0.00      0.65     0.00   181048     0.00     0.00  builtin__map_get
  0.00      0.65     0.00   153455     0.00     0.00  v__ast__Expr_is_auto_deref_var
  0.00      0.65     0.00   149257     0.00     0.00  v__parser__Parser_expr
  0.00      0.65     0.00   148403     0.00     0.00  v__checker__Checker_check_expr_option_or_result_call
  0.00      0.65     0.00   127752     0.00     0.00  builtin__array_clone_to_depth
  0.00      0.65     0.00   126133     0.00     0.00  v__checker__Checker_expr_or_block_err
  0.00      0.65     0.00   125913     0.00     0.00  v__ast__Scope_find_var
  0.00      0.65     0.00   125135     0.00     0.00  v__ast__type_can_start_with_token
  0.00      0.65     0.00   125135     0.00     0.00  v__parser__Parser_is_generic_cast
  0.00      0.65     0.00   125135     0.00     0.00  v__parser__Parser_is_generic_struct_init
  0.00      0.65     0.00   120823     0.00     0.00  v__ast__Table_find_field
  0.00      0.65     0.00   115544     0.00     0.00  v__parser__Parser_ident
  0.00      0.65     0.00   115543     0.00     0.00  v__parser__Parser_add_defer_var
  0.00      0.65     0.00   115460     0.00     0.00  v__parser__Parser_is_following_concrete_types
  0.00      0.65     0.00   112247     0.00     0.00  v__gen__c__Gen_is_comptime_for_var
  0.00      0.65     0.00   110282     0.00     0.00  v__gen__c__Gen_ident
  0.00      0.65     0.00   110132     0.00     0.00  v__gen__c__Gen_get_ternary_name
  0.00      0.65     0.00   109285     0.00     0.00  v__gen__c__Gen_writeln
  0.00      0.65     0.00   101941     0.00     0.00  builtin____new_array
  0.00      0.65     0.00   100879     0.00     0.00  v_typeof_sumtype_v__ast__Expr
  0.00      0.65     0.00    92815     0.00     0.00  v__ast__TypeSymbol_find_method
  0.00      0.65     0.00    92446     0.00     0.00  v__transformer__Transformer_trans_const_value_to_literal
  0.00      0.65     0.00    92324     0.00     0.00  builtin__new_map
  0.00      0.65     0.00    90146     0.00     0.00  builtin__map_set
  0.00      0.65     0.00    90120     0.00     0.00  v__ast__Table_type_kind
  0.00      0.65     0.00    82157     0.00     0.00  v__ast__Table_find_method
  0.00      0.65     0.00    81191     0.00     0.00  builtin__string__plus
  0.00      0.65     0.00    79196     0.00     0.00  v__parser__Parser_expr_list
  0.00      0.65     0.00    69811     0.00     0.00  v__gen__c__Gen_expr_with_cast
  0.00      0.65     0.00    68166     0.00     0.00  v__checker__Checker_stmt
  0.00      0.65     0.00    64311     0.00     0.00  v__parser__Parser_stmt
  0.00      0.65     0.00    63596     0.00     0.00  v__gen__c__Gen_cc_type
  0.00      0.65     0.00    61998     0.00     0.00  v__ast__Table_find_field_with_embeds
  0.00      0.65     0.00    61824     0.00     0.00  v__checker__Checker_fail_if_unreadable
  0.00      0.65     0.00    61046     0.00     0.00  builtin__map_clone_string
  0.00      0.65     0.00    59235     0.00     0.00  builtin__string_free
  0.00      0.65     0.00    57759     0.00     0.00  v__ast__Expr_is_literal
  0.00      0.65     0.00    55564     0.00     0.00  builtin__impl_i64_to_string
  0.00      0.65     0.00    53599     0.00     0.00  v__type_resolver__ResolverInfo_is_comptime
  0.00      0.65     0.00    52166     0.00     0.00  v__checker__Checker_check_types
  0.00      0.65     0.00    51791     0.00     0.00  builtin__new_array_from_c_array
  0.00      0.65     0.00    51715     0.00     0.00  v__parser__Parser_expr_no_value
  0.00      0.65     0.00    51282     0.00     0.00  v__parser__Parser_parse_multi_expr
  0.00      0.65     0.00    49552     0.00     0.00  builtin__string_index_after_
  0.00      0.65     0.00    47698     0.00     0.00  builtin__array_set
